年月,地區,產業別,性別,年齡層,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,食,2,未滿20歲,335,280020
201401,66000000,食,2,20(含)-25歲,11243,14831993
201401,66000000,食,2,25(含)-30歲,37530,62962619
201401,66000000,食,2,30(含)-35歲,68905,130368617
201401,66000000,食,2,35(含)-40歲,85921,163389072
201401,66000000,食,2,40(含)-45歲,90583,185379945
201401,66000000,食,2,45(含)-50歲,81617,160782815
201401,66000000,食,2,50(含)-55歲,59270,126255033
201401,66000000,食,2,55(含)-60歲,36674,74874524
201401,66000000,食,2,60(含)-65歲,20133,43894424
201401,66000000,食,2,65(含)-70歲,6165,11206512
201401,66000000,食,2,70(含)-75歲,2573,4450122
201401,66000000,食,2,75(含)-80歲,859,1286937
201401,66000000,食,2,80(含)歲以上,436,724208
201401,66000000,衣,2,未滿20歲,100,212519
201401,66000000,衣,2,20(含)-25歲,3665,9193041
201401,66000000,衣,2,25(含)-30歲,10255,27012133
201401,66000000,衣,2,30(含)-35歲,20727,53645317
201401,66000000,衣,2,35(含)-40歲,23768,64852125
201401,66000000,衣,2,40(含)-45歲,20386,62155956
201401,66000000,衣,2,45(含)-50歲,15558,55481089
201401,66000000,衣,2,50(含)-55歲,8936,37574731
201401,66000000,衣,2,55(含)-60歲,4676,22921041
201401,66000000,衣,2,60(含)-65歲,2091,8750106
201401,66000000,衣,2,65(含)-70歲,588,2339647
201401,66000000,衣,2,70(含)-75歲,163,579587
201401,66000000,衣,2,75(含)-80歲,33,109181
201401,66000000,衣,2,80(含)歲以上,179,663639
201401,66000000,住,2,未滿20歲,33,106770
201401,66000000,住,2,20(含)-25歲,1280,5456249
201401,66000000,住,2,25(含)-30歲,3973,22227397
201401,66000000,住,2,30(含)-35歲,7073,44837261
201401,66000000,住,2,35(含)-40歲,8933,56774792
201401,66000000,住,2,40(含)-45歲,10157,64379032
201401,66000000,住,2,45(含)-50歲,9130,64843380
201401,66000000,住,2,50(含)-55歲,6373,47157163
201401,66000000,住,2,55(含)-60歲,3573,30427380
201401,66000000,住,2,60(含)-65歲,1697,13090861
201401,66000000,住,2,65(含)-70歲,466,3871707
201401,66000000,住,2,70(含)-75歲,186,1588651
201401,66000000,住,2,75(含)-80歲,33,270223
201401,66000000,住,2,80(含)歲以上,87,532273
201401,66000000,行,2,未滿20歲,96,51612
201401,66000000,行,2,20(含)-25歲,3308,2048181
201401,66000000,行,2,25(含)-30歲,11840,10073798
201401,66000000,行,2,30(含)-35歲,18839,19900203
201401,66000000,行,2,35(含)-40歲,20710,24412234
201401,66000000,行,2,40(含)-45歲,20007,24387538
201401,66000000,行,2,45(含)-50歲,16386,20745041
201401,66000000,行,2,50(含)-55歲,11268,14038461
201401,66000000,行,2,55(含)-60歲,6078,6970429
201401,66000000,行,2,60(含)-65歲,2726,3316007
201401,66000000,行,2,65(含)-70歲,697,678267
201401,66000000,行,2,70(含)-75歲,235,491214
201401,66000000,行,2,75(含)-80歲,38,88765
201401,66000000,行,2,80(含)歲以上,58,72840
201401,66000000,文教康樂,2,未滿20歲,190,806731
201401,66000000,文教康樂,2,20(含)-25歲,5359,17102258
201401,66000000,文教康樂,2,25(含)-30歲,14005,51140281
201401,66000000,文教康樂,2,30(含)-35歲,19275,80554196
201401,66000000,文教康樂,2,35(含)-40歲,21770,103768799
201401,66000000,文教康樂,2,40(含)-45歲,21696,117993776
201401,66000000,文教康樂,2,45(含)-50歲,17076,108232700
201401,66000000,文教康樂,2,50(含)-55歲,10530,74570321
201401,66000000,文教康樂,2,55(含)-60歲,5072,38412567
201401,66000000,文教康樂,2,60(含)-65歲,2346,16839200
201401,66000000,文教康樂,2,65(含)-70歲,618,4984589
201401,66000000,文教康樂,2,70(含)-75歲,221,1981645
201401,66000000,文教康樂,2,75(含)-80歲,61,692872
201401,66000000,文教康樂,2,80(含)歲以上,224,1231416
201401,66000000,百貨,2,未滿20歲,550,1529067
201401,66000000,百貨,2,20(含)-25歲,12946,40088085
201401,66000000,百貨,2,25(含)-30歲,44569,150471532
201401,66000000,百貨,2,30(含)-35歲,77992,256180375
201401,66000000,百貨,2,35(含)-40歲,89289,303095967
201401,66000000,百貨,2,40(含)-45歲,85887,314830188
201401,66000000,百貨,2,45(含)-50歲,70429,284902368
201401,66000000,百貨,2,50(含)-55歲,42828,201299372
201401,66000000,百貨,2,55(含)-60歲,23206,109651820
201401,66000000,百貨,2,60(含)-65歲,11182,52703430
201401,66000000,百貨,2,65(含)-70歲,3329,16319550
201401,66000000,百貨,2,70(含)-75歲,1187,4732467
201401,66000000,百貨,2,75(含)-80歲,480,2440831
201401,66000000,百貨,2,80(含)歲以上,376,1896686
201401,66000000,其他,2,未滿20歲,87,385883
